钱 L'argent,,罗伯特·布列松,,列夫·托尔斯泰,,Christian Patey,,Vincent Risterucci,,Caroline Lang,"['剧情', '犯罪']",85 分钟,1983,法国 / 瑞士, 法语 / 拉丁语,8.2
奇异的恩典 Amazing Grace,,迈克尔·艾普特,,Steven Knight,,艾恩·格拉法德,,萝玛拉·嘉瑞,,本尼迪克特·康伯巴奇,"['剧情', '爱情', '传记', '历史']",117 分钟,2006,英国 / 美国, 英语,8.2
老枪 Le vieux fusil,,罗贝尔·恩里科,,罗贝尔·恩里科,,菲利普·努瓦雷,,罗密·施奈德,,让·布伊兹,"['剧情', '惊悚', '战争']",103分钟,1975,法国 / 西德, 法语 / 德语,8.2
尼斯·疯狂的心 Nise - O Coração da Loucura,,罗伯托·柏林厄,,弗蕾维亚·卡斯特罗,,格劳瑞·皮尔丝,,罗伯特·罗德里格斯,,费尔南多·埃拉斯,"['剧情', '传记', '历史']",109分钟,2015,巴西, 葡萄牙语,8.2
何处是我家 Nirgendwo in Afrika,,卡罗莉内·林克,,卡罗莉内·林克,,茱莉安·柯勒,,梅拉布·尼尼泽,,Sidede Onyulo,"['剧情', '传记']",141 分钟,2001,德国, 斯瓦希里语 / 德语 / 英语,8.2
香火,,宁浩,,宁浩,,李强,,类型:,,剧情,['剧情'],97分钟,2003,中国大陆, 汉语普通话,8.2
布兰卡和弹吉他的人 ブランカとギター弾き,,长谷井宏纪,,长谷井宏纪,,西德乐·盖贝特罗,,彼得·米拉里,,乔马·比基尤,"['剧情', '音乐']",75分钟,2015,菲律宾 / 日本 / 意大利, 他加禄语,8.2
喜剧之王 The King of Comedy,,马丁·斯科塞斯,,保罗·D·齐默尔曼,,罗伯特·德尼罗,,杰瑞·刘易斯,,戴安娜·阿伯特,"['剧情', '喜剧', '犯罪']",109 分钟,1982,美国, 英语,8.2
白气球 بادکنک سفيد,,贾法·帕纳西,,阿巴斯·基亚罗斯塔米,,Aida Mohammadkhani,,Mohsen Kafili,,Fereshteh Sadre Orafaiy,"['剧情', '家庭']",85 分钟,1995,伊朗, 波斯语,8.2
隐剑鬼爪 隠し剣 鬼の爪,,山田洋次,,山田洋次,,永濑正敏,,松隆子,,小泽征悦,"['剧情', '爱情']",132分钟,2004,日本, 日语,8.2
